id_pub,anio,mes,cuenca,contrato,precio_distribuidora,precio_gnc,precio_usina,precio_industria,precio_otros,precio_ppp,precio_expo,indice_tiempo
220,2020,1,Austral Tierra del Fuego,FIRME,2.99,2.57,2.08,2.20,0.00,2.32,0.00,2020-01
221,2020,1,Austral Tierra del Fuego,INTERRUMPIBLE,0.00,0.00,1.60,1.37,0.00,1.53,3.21,2020-01
222,2020,1,Austral Tierra del Fuego,TOTAL,2.99,2.57,1.98,2.06,0.00,2.21,3.21,2020-01
223,2020,1,Golfo de San Jorge,FIRME,3.51,2.67,2.34,2.73,0.00,2.67,3.14,2020-01
224,2020,1,Golfo de San Jorge,INTERRUMPIBLE,0.00,0.00,2.32,1.38,0.00,2.32,0.00,2020-01
225,2020,1,Golfo de San Jorge,TOTAL,3.51,2.67,2.33,2.73,0.00,2.60,3.14,2020-01
226,2020,1,Neuquina,FIRME,2.96,2.80,1.72,2.74,1.66,2.67,3.48,2020-01
227,2020,1,Neuquina,INTERRUMPIBLE,0.00,2.81,1.69,1.52,2.20,1.67,3.21,2020-01
228,2020,1,Neuquina,TOTAL,2.96,2.81,1.69,2.60,1.82,2.25,3.31,2020-01
229,2020,1,Noroeste,FIRME,3.89,2.78,0.00,4.21,0.00,4.03,0.00,2020-01
230,2020,1,Noroeste,INTERRUMPIBLE,2.75,0.00,2.07,3.08,0.00,2.70,0.00,2020-01
231,2020,1,Noroeste,TOTAL,3.75,2.78,2.07,4.17,0.00,3.95,0.00,2020-01
232,2020,1,Total Cuenca,FIRME,3.01,2.74,2.00,2.70,1.55,2.60,3.14,2020-01
233,2020,1,Total Cuenca,INTERRUMPIBLE,2.50,2.81,1.69,1.45,2.20,1.66,3.20,2020-01
234,2020,1,Total Cuenca,TOTAL,3.00,2.75,1.80,2.54,1.59,2.28,3.17,2020-01
235,2020,2,Austral Santa Cruz,FIRME,2.67,2.57,2.00,2.10,1.33,2.11,2.64,2020-02
236,2020,2,Austral Santa Cruz,INTERRUMPIBLE,2.31,0.00,1.21,1.26,0.00,1.28,3.00,2020-02
237,2020,2,Austral Santa Cruz,TOTAL,2.60,2.57,1.55,1.91,1.33,1.84,2.67,2020-02
238,2020,2,Austral Tierra del Fuego,FIRME,2.89,2.40,2.12,2.21,0.00,2.33,0.00,2020-02
239,2020,2,Austral Tierra del Fuego,INTERRUMPIBLE,0.00,0.00,1.67,1.26,0.00,1.64,3.21,2020-02
240,2020,2,Austral Tierra del Fuego,TOTAL,2.89,2.40,1.93,2.12,0.00,2.16,3.21,2020-02
